Gene Symbol and Synonyms,Gene Symbol
STM0045,ribF
STM2440,cysM
STM2458,eutB
STM3185,nudF
STM1220,ycfX
STM4172,zraP
STM1921,cheA
STM4090,menA
STM0103,araB
STM2811,proX
STM2285,glpB
STM2517,sinH
STM3319,yhbG
STM3103,yggV
STM2835,srlD
STM1051,sseI
STM1780,prsA
STM3902,ilvM
STM4403,cpdB
STM1956,fliA
STM2063,phsC
STM0964,dmsA
STM3617,STM3617
STM0231,dnaE
STM0618,citT
STM4173,hydH
STM1467,manA
STM0590,fepC
STM3419,rpmJ
STM2052,pduQ
STM1765,narK
STM1558,STM1558
STM2417,valX
STM4306,STM4306
STM3401,aroE
STM1631,sseJ
STM1968,fliE
STM1384,ttrC
STM3933,leuT
STM1977,fliN
STM1175,flgC
STM0665,gltI
STM3254,STM3254
STM3205,uppP
STM0674,glnV
STM4425,STM4425
STM3532,STM3532
STM2481,acrD
STM0424,xseB
STM2960,gudD
STM1200,tmk
STM2832,srlA
STM4036,fdoH
STM0272,STM0272
STM3242,tdcD
STM1314,celC
PSLT009,-
STM2403,glk
STM2683,ppnK
STM0591,fepG
STM4234,ubiA
STM2147,thiM
STM3982,fadA
STM2865,avrA
STM3936,hemX
STM1185,rne
STM4145,thrT
STM1724,trpD
STM1436,nemA
STM0849,STM0849
STM2861,sitA
STM0213,dapD
STM3862,glmU
STM1099,hpaB
STM3855,pstA
STM3427.S,rpsN
STM1726,trpB
STM3437,rplB
STM1727,trpA
STM0432,phnX
STM3355,STM3355
STM3728,rpmB
STM3661,xylA
STM2178,STM2178
STM3561,livG
STM0956,cydC
STM2466,eutD
STM0253,rrfH
STM3664,malS
STM2041,pduD
STM1626,trg
STM2083,rfbK
STM0515,allA
STM2165,yehZ
STM3710,rfaD
STM3150,hypO
STM3824,torR
STM4384,sgaB
STM0194,fhuB
STM0738,sucC
STM1299,gdhA
STM3354,STM3354
STM4358,amiB
STM4305.S,STM4305.S
STM4019,yihQ
STM2075,hisH
STM3013,lysA
STM0704,kdpC
STM3822,torA
STM1883,purT
STM2777,iroN
STM2824,STM2824
STM0310,gmhA
STM0963,serS
STM3420,secY
STM0012,dnaK
STM4045,rhaD
STM4386,ulaD
STM4557,holD
STM1537,STM1537
STM0170,hpt
STM2216,yejA
STM2443,cysU
STM0794,bioB
STM0087,folA
STM0598,entA
STM1231,phoP
STM0877,potF
STM2915,ygbM
STM3630,dppA
STM1234.S,mnmA
STM1223,potC
STM2750,STM2750
STM3979,fre
STM3426,rpsH
STM0705,kdpB
STM0486,recR
STM3436,rpsS
STM0406,yajC
STM1505,rspA
STM3313,yrbF
STM3992,rrfA
STM2091,rfbG
STM2971,sdaB
STM3359,mdh
STM0166,speE
STM3553,ugpQ
STM1885,edd
STM4292,basR
STM3328,arcB
STM3967,dlhH
STM2219,yejF
STM2089,rfbJ
STM2062,dacD
STM3424,rplR
STM3866,atpG
STM1385,ttrB
STM1262,STM1262
STM3733,pyrE
STM3854,pstB
STM3740,gmk
STM0762,STM0762
STM4164,thiC
STM0791,hutH
STM1171,flgN
STM3577,tcp
STM1180,flgH
STM3744,recG
STM0125,mraY
STM3975,tatC
STM3683,selA
STM2437,yfeJ
STM1962,fliT
STM3432,rpmC
STM0091,pdxA
STM2659,rrsG
STM1217.S,ycfU
STM0216,rpsB
STM1179,flgG
STM2578,pdxJ
STM4005,glnG
STM0248,yaeD
STM2933,cysC
STM4085,glpX
STM1244,pagD
STM2026,cbiJ
STM4544,dnaT
STM2500,purN
STM1786,STM1786
STM3283,rpsO
STM1191,rpmF
STM1894,ruvB
STM1824,pabB
STM2254,ccmA
STM2873,prgI
STM0123,murE
STM4037,fdoG
STM3447,rpsG
STM2096,rfbD
STM3118,STM3118
STM3789,uhpB
STM3141,STM3141
STM0282,STM0282
STM4555,leuQ
STM3010,aas
STM2499.S,purM
STM2300,STM2300
STM4538,STM4538
STM2787,STM2787
STM3563,livH
STM2397,pgtB
STM3674,lyxK
STM0481,priC
STM0958,trxB
STM1898,ruvC
STM0059,citD2
STM2141,fbaB
STM3061,ygfA
STM1224,sifA
STM0680,asnB
STM3891,rrlC
STM3207,ygiH
STM0043,rpsT
STM4132,rrsB
STM3212,mug
STM2317,nuoM
STM1218,lolD
STM1409,ssaJ
STM2071,hisG
STM4435,STM4435
STM0781,modA
STM0622,citE
STM2064,phsB
STM2017,cobS
STM2095,rfbA
STM2196,STM2196
STM0227,fabZ
STM2352,hisM
STM2896,invA
STM2297,yfbE
STM3131,STM3131
STM4058,cpxA
STM2081,gnd
STM2473,talA
STM2084,rfbM
STM3258,STM3258
STM0576,STM0576
STM0244,rcsF
STM3054,gcvH
STM0428,phnT
STM0619,citG
STM0891,artP
STM2321,nuoI
STM3869,atpF
STM2263,yojI
STM0585,fepA
STM4354,glyY
STM3838,dnaA
STM0208,dgt
STM4081,tpiA
STM0588,entF
STM1420,ssaS
STM1226,potA
STM0106,thiQ
STM4588,creB
STM0676,glnW
STM3472,ppiA
STM1524,yneI
STM2862,sitB
STM0506,tesA
STM4062,pfkA
STM1969,fliF
STM1318,katE
STM2365,folC
STM4541,mdoB
STM3771,STM3771
STM2579,recO
STM0937,hcp
STM1338,pheT
STM0625,dpiB
STM1086,serT
STM4289,STM4289
STM0110,leuD
STM0369,prpC
STM2891,spaO
STM3570,ftsE
STM2483,dapE
STM4301,dcuB
STM4536,STM4536
STM2193,folE
STM2187,yeiA
STM1357.S,ydiF
STM3393,rrfF
STM0973,pflB
STM4004,hemN
STM0183,folK
STM3295,folP
STM0648,leuS
STM0786,ybhC
STM2826,csrA
STM4589,creC
STM3068,fba
STM2067,sbcB
STM1366,STM1366
STM0222,cdsA
STM2186,STM2186
STM0957,cydD
STM3858,STM3858
STM3796,ilvB
STM0802,moaA
STM3336,nanK
STM2949,ptpS
STM0112,leuB
STM4047,rhaB
STM0279,STM0279
STM4341,frdC
STM2930,ispD
STM1901,aspS
STM0812,ybhO
STM2073,hisC
STM2128,yegO
STM3450,yheM
STM2246,narP
STM0806,moaE
STM1415,ssaN
STM4188.S,metH
STM2529,STM2529
STM3414,rplQ
STM3723,rfaQ
STM1647,ldhA
PSLT064,PSLT064
STM3896,trpT
STM1694,sapC
STM0519,glxR
STM3714,rfaK
STM3861,glmS
STM4106,katG
STM0332,STM0332
STM1358,aroD
STM3970,ubiE
STM0874,mdaA
STM0795,bioF
STM0108,tbpA
STM0171,yadF
STM2841,ygbD
STM3249,garL
STM3206,folB
STM4393,rpsR
STM3312,yrbE
STM0361,STM0361
STM1803,dadA
STM0444,ampG
STM3816,ccmD
STM3704,pmgI
STM0879,potH
STM3578,tusA
STM2461,eutG
STM2771,fljB
STM2189,mglA
STM3500,pckA
STM4585,gpmB
STM0977,serC
STM0829,glnP
STM2954,mazG
STM4479,yjgP
STM3538,glgB
STM0635.S,lipB
STM3334,STM3334
STM0386,proC
STM3324,ptsO
STM2573,STM2573
STM0707,kdpF
STM3417,rpsK
STM2090,rfbH
STM2024,cbiL
STM2176,STM2176
STM1422,ssaU
STM0805,moaD
STM3583,acpT
STM3542,gntK
STM1451,gst
STM0426,phnV
STM4392,priB
STM3857,pstS
STM0637,dacA
STM3868,atpH
STM3438,rplW
STM2395,pgtE
STM0646,holA
STM3883,rbsC
STM0393,yajF
STM3468,argD
STM3677,sgbE
STM3564,livK
STM4074,STM4074
STM1103,hpaD
STM0664,gltJ
STM3241,tdcE
STM1197,fabF
STM1830,manX
STM1559,STM1559
STM4183,aceB
STM2291,yfaW
STM0850,STM0850
STM4179,rrlE
STM2314,STM2314
STM1986,yedP
STM2528,STM2528
STM0360,STM0360
STM2435,pdxK
STM2927,surE
STM2755,STM2755
STM0209,htrA
STM3957,pldA
STM0163,pdxA
STM1959,fliC
STM2354,hisJ
STM2897,invE
STM0678,leuW
STM0594,fepB
STM4519,STM4519
STM3751,selC
STM4293,eptA
STM0158,acnB
STM3076,tktA
STM2667,pheA
STM4570,deoD
STM4229,malE
STM2074,hisB
STM1744,oppC
STM3161,metC
STM3989,ileT
STM3116,pheV
STM2072,hisD
STM05445,STM05445
STM1101,hpaG
STM2489,dapA
STM4143,tyrU
STM1749,adhE
STM1613,STM1613
STM2822,STM2822
STM1335,rpmI
STM3965,metE
STM0788,hutG
STM2834,slrB
STM2018,cobU
STM0663,gltK
STM2677,ffh
STM1193,fabH
STM3439,rplD
STM2198,STM2198
STM2322,nuoH
STM3193,STM3193
STM2028,cbiG
STM2298,pmrF
STM3129,STM3129
STM3999,polA
STM4163,thiE
STM0226,lpxD
STM4249,aphA
STM1742,oppF
STM2108,wcaG
STM2394,argW
STM1960,fliD
STM0753,lysW
STM0804,moaC
STM2332,STM2332
STM1919,cheM
STM1772,kdsA
STM2310,menF
STM0632,tatE
STM2956,relA
STM4460,pyrB
STM3793,STM3793
STM0706,kdpA
STM1502,speG
STM3339,nanA
STM0578,nfnB
STM4108,gldA
STM3914,rhlB
STM2502,ppx
STM2122,udk
STM0054,STM0054
STM3958,recQ
STM3431,rpsQ
STM4537,STM4537
STM4151,rplJ
STM0733,sdhD
STM1177,flgE
STM3562,livM
STM1313,celB
STM2328,nuoA
STM0329,STM0329
STM0047,lspA
STM4576,lplA
STM4184,aceA
STM4477,pepA
STM2817,luxS
STM0628,pagP
STM4182,metA
STM1679,mppA
STM1449,tyrS
STM3055,gcvT
STM0476,acrA
STM4275,acs
STM1493,STM1493
STM2278,nrdB
STM0398,phoR
PSLT066,-
STM2973,fucO
STM2378,fabB
STM4086,glpK
STM2105.S,manC
STM0192,fhuC
STM3772,STM3772
STM3173,plsC
STM4319,phoN
STM1170,STM1170
STM2418,valY
STM1418,ssaQ
STM0193,fhuD
STM2992,argA
STM3539,asd
STM2398,pgtC
STM2019,cbiP
STM4177,rrsE
STM2756,STM2756
STM1945,pgsA
STM1489,bioD
STM4351,STM4351
STM0003,thrB
STM3901,ilvG
STM1435,gloA
STM3665,avtA
STM3870,atpE
STM3250,garD
STM1178,flgF
STM0416,ribD
STM0263,rnhA
STM4176,purH
STM4568,deoA
STM0596,entE
STM2155,metG
STM2229,tRNAPro2
STM3836,recF
STM2758,STM2758
STM0420,pgpA
STM1294,ansA
STM0145,nadC
STM1855,sopE2
STM1083,yccX
STM2104,cpsG
STM2131,baeR
STM2951,ygcF
STM0761,STM0761
STM4569,deoB
STM1304,astA
STM0679,metT
STM2839,ygaA
STM1076,mgsA
STM1469,fumC
STM0321,proB
STM1246,pagC
STM4291,basS
STM0425,thiI
STM3741,rpoZ
STM4230,malK
STM3451,yheN
STM2472,maeB
STM0736,sucA
STM2807,nrdE
STM3939,cyaA
STM2564,glrK
STM1148.S,ymdC
STM0130,ddl
STM3829,dgoK
STM3961,pldB
STM1347,aroH
STM3428,rplE
STM2929,ispF
STM1576,narU
STM1471,rstB
STM0633,lipA
STM3991,rrlA
STM0443,cyoA
STM3423,rpsE
STM3628,dppC
STM0620,citX
STM3289,metY
STM0061,citF2
STM2057,pduW
STM2818,gshA
STM1788,STM1788
STM0046,ileS
STM0830,glnH
STM1787,STM1787
STM3787,uhpT
STM1599,pdgL
STM3837,dnaN
STM0782,modB
STM2809,proV
STM2341,STM2341
STM1692,sapA
STM1614,STM1614
STM1305,astD
STM2780,pipB2
STM4382,yjfR
STM1508,ydfI
STM2047,pduL
STM0889,artQ
STM1900,ntpA
STM1743,oppD
STM1201,holB
STM4101,metL
STM2991,amiC
STM3865,atpD
STM3464,prkB
STM2536,pepB
STM1725,trpC
STM2810,proW
STM3259,STM3259
STM1538,STM1538
STM1891,znuA
STM0265,aspV
STM0526,STM0526
STM3934,proM
STM0728,nei
STM2016,cobT
STM3788,uhpC
STM0062,STM0062
STM0439,cyoE
STM2948,cysJ
STM2990,metW
STM4247,alr
STM0980,cmk
STM0101,araD
STM2433,crr
STM3475,nirD
STM1378,pykF
STM1373,sufS
STM3315,kdsD
STM4100,metB
STM4391,rpsF
STM1391,ssrB
STM3433,rplP
STM0220,dxr
STM2555,glyA
STM1423,valW
STM4137,murB
STM3395,rrfD
STM2829,recA
STM2830,ygaD
STM3425,rplF
STM2000,serU
STM3441,rpsJ
STM4075,STM4075
STM1700,fabI
STM2388,fadJ
STM3782,STM3782
STM3090,metK
STM3095,gshB
STM2051,pduP
STM4077,STM4077
STM2559,cadA
STM2863,sitC
STM2252,ccmC
STM2042,pduE
STM3556,ugpA
STM0152,aceE
STM4248,tyrB
STM4166,nudC
STM3721,rfaP
STM3474,nirB
STM2175,STM2175
STM1426,ribE
STM1917,cheB
STM0126,murD
STM3700,gpsA
STM3001,thyA
STM3885,rbsK
STM2444,cysP
STM0407,secD
STM3053,gcvP
STM0129,murC
STM0734,sdhA
STM0136,secA
STM0088,apaH
STM3037,glyU
STM1492,STM1492
STM4256,ssb
STM2327,nuoB
STM2320,nuoJ
STM2450,amiA
STM0685,nagE
STM0981,rpsA
STM3415,rpoA
STM3139,gsp
STM0966,dmsC
STM1387,ttrR
STM4162,thiF
STM4262,STM4262
STM3294,glmM
STM1392,ssrA
STM1779,ipk
STM1736,yciA
STM3005,mutH
STM3434,rpsC
STM2065,phsA
STM0181,panC
STM3856,pstC
STM0422,dxs
STM3039,idi
STM3019,yqeF
STM4446,STM4446
STM4307,STM4307
STM0684,nagB
STM0640,mrdA
STM3164,yqhD
STM4465,STM4465
STM1763,narH
STM4066,STM4066
STM2823,STM2823
STM0458,STM0458
STM1312,celA
STM1929,otsB
STM2656,rrfG
STM4508,trpS2
STM2344,STM2344
STM0434,apbA
STM3531,STM3531
STM3917,rho
STM2996,recC
STM1888,pykA
STM2384,aroC
STM2031,cbiE
STM4135,rrlB
STM3686,mtlD
STM2396,pgtA
STM3057,ubiH
STM3293,secG
STM3560,livF
STM3716,rfaY
STM1340,btuC
STM3137,STM3137
STM0584,entD
STM3195,ribB
STM1577,narZ
STM0122,ftsI
STM3422,rpmD
STM2571,murQ
STM4475,valS
STM1570,fdnG
STM3469,pabA
STM2909,mutS
STM4246,dnaB
STM1831,manY
STM4046,rhaA
STM1448,pdxH
STM3726,mutM
STM3086,speA
STM4167,hemE
STM3881,rbsD
STM0673,glnX
STM3660,xylB
STM4353,glyX
STM0999,ompF
STM2993,recD
STM3430,rplN
STM0135,yacA
STM2331,yfbQ
STM1004,pncB
STM3292,leuU
STM3311,yrbD
STM0427,phnU
STM0372,hemB
STM2522,hisS
STM2362,purF
STM1404,sseF
STM2040,pduC
STM0207,pfs
STM2550,asrC
STM2127,yegN
STM3493,mrcA
STM0423,ispA
STM0234,ldcC
STM1247,STM1247
STM1406,ssaG
STM4064,ushB
STM3255,STM3255
STM0206,btuF
STM3968,udp
STM1762,narJ
STM3337,nanE
STM1163,pyrC
STM4254,uvrA
STM3114,speC
STM3842,yidC
STM0464,tesB
STM3839,rpmH
STM0309,fadE
STM4321,pheR
STM4476.S,holC
STM0887,artJ
STM3712,rfaC
STM4414,ppa
STM0440,cyoD
STM3042,recJ
STM1946,uvrC
STM3769.S,STM3769.S
STM0732,sdhC
STM0820,rhlE
STM2887,spaS
STM1104,hpaF
STM1915,cheZ
STM2530,STM2530
STM3554,ugpC
STM2959,STM2959
STM2511,guaB
STM1892.S,znuC
STM3889,rrsC
STM2277,nrdA
STM2308,yfbB
STM0643,cobC
STM3449,yheL
STM0245,metQ
STM1922,motB
STM4415,fbp
STM1129,STM1129
STM2299,yfbG
STM2126,STM2126
STM0380,ddl
STM1342,btuD
STM2002,asnT
STM3330,gltB
STM3603,treF
STM1711,ribA
STM2023,cbiM
STM2360,STM2360
STM4023,yihU
STM3739,ligB
STM4121,argC
STM4445,STM4445
STM0935,poxB
STM3122,STM3122
